ltt.pc1,ltt.pc2,ltt.pc3,ltt.pc4,ltv.pc1,ltv.pc2,ltv.pc3,ltv.pc4,ltsy.pc1,ltsy.pc2,ltsy.pc3,ltsy.pc4,ltsco.pc1,ltsco.pc2,ltsco.pc3,ltsco.pc4,lth.pc1,lth.pc2,lth.pc3,lth.pc4
1.584590869,-1.149900887,0.798251215,-0.189640092,-1.207523436,2.292570352,1.685361122,-0.026830885,1.623270268,-0.709998517,1.61148016,0.688542706,-2.215085643,1.580207486,-1.205788042,1.065576608,-3.20201315,-0.83064807,0.230506407,0.86830762
1.584590869,-1.149900887,0.798251215,-0.189640092,-1.331436455,4.137825557,2.640715848,-1.589713119,1.425633451,-0.570375722,1.574811552,0.781272445,-2.115116272,1.273074489,-0.600186963,0.743302024,-1.456246515,0.865487241,-1.756634385,3.37906563
0.45589029,1.119559214,-1.213781928,1.700727784,-1.447695454,3.485990528,0.422221726,-1.459779496,1.649600192,-0.884870562,1.111533402,0.042183132,-2.115530121,1.51272974,-0.987354529,0.923519971,-3.2367038,-0.819660537,0.272184846,0.865700604
0.141743929,1.061807436,1.561032853,0.335279268,-1.414109148,1.98269049,0.777586038,-0.139545144,1.375460146,-0.533695118,1.406927001,0.811066948,-2.201448908,1.678222548,-1.12127651,1.010068117,-2.283848099,-1.629235302,-2.002702606,1.20218986
-0.640356875,4.660005132,-1.524133139,-2.098514421,-1.363608834,3.292355014,0.707254687,-1.644623308,1.278920529,-0.492804767,0.996595163,0.318457389,-2.137025163,1.504376305,-1.236830563,1.039951913,-2.520713748,-2.414717093,-2.688587312,0.631046554
-0.157621894,0.477520729,0.721703908,-0.230927136,-1.586305141,3.136749651,1.064034612,-0.850417688,1.718773835,-0.281793442,0.484879257,2.312229528,-2.184336103,1.751759286,-1.10592975,0.993992919,-4.150341316,-4.299831223,-2.874596287,-3.183052085
1.862873641,-0.822640053,0.395330824,-0.256970628,-0.754559513,2.865390778,3.57871349,0.492792457,1.550090281,-0.559136796,1.493584188,1.045043856,-2.214747537,1.696961034,-1.104327973,1.004560394,-2.468866852,-0.211177974,-2.398379038,1.760362777
1.85773194,-0.940216502,0.188523124,-0.665617981,-1.111552043,1.334023147,1.556907635,-0.954480282,1.599540412,-0.416319574,1.546942314,0.824557955,-2.18869676,1.645183958,-1.140928563,1.017227781,-3.1062394,-0.888087487,0.247196343,0.830199176
1.85773194,-0.940216502,0.188523124,-0.665617981,-0.959301463,2.531765605,1.761655634,-0.481038556,1.282106948,-0.09367778,1.225488966,0.224059816,-2.132707851,1.701871498,-1.217783145,1.046914819,-3.23533064,-0.763396677,0.299147704,0.859266094
0.434978335,0.759990771,1.669690038,-0.149438237,-1.46690461,3.906066078,2.504829993,-1.294680109,1.197225528,-0.510454063,0.85985719,0.658303076,-2.155499309,1.776859118,-1.157173898,1.020099116,-3.102729955,-1.415262046,-1.480195088,-0.217625679
